"Mach","Pressure","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.0879,0.56682,0.14157,1.399,0.092778,0
1.0879,0.56678,0.1415,1.399,0.092996,0
1.0879,0.56675,0.14143,1.399,0.093214,0
1.088,0.56671,0.14136,1.399,0.093432,0
1.088,0.56668,0.1413,1.399,0.09365,0
1.0881,0.56664,0.14123,1.399,0.093868,0
1.0881,0.56661,0.14116,1.399,0.094086,0
1.0881,0.56658,0.1411,1.399,0.094304,0
1.0882,0.56655,0.14103,1.399,0.094522,0
1.0882,0.56652,0.14097,1.399,0.09474,0
1.0883,0.56649,0.14091,1.399,0.094958,0
1.0883,0.56646,0.14085,1.399,0.095176,0
1.0883,0.56643,0.14079,1.399,0.095394,0
1.0884,0.5664,0.14073,1.399,0.095612,0
1.0884,0.56637,0.14067,1.399,0.09583,0
1.0884,0.56634,0.14061,1.399,0.096048,0
1.0885,0.56631,0.14055,1.399,0.096266,0
1.0885,0.56628,0.14049,1.399,0.096484,0
1.0885,0.56625,0.14043,1.399,0.096702,0
1.0886,0.56622,0.14037,1.399,0.09692,0
1.0886,0.56618,0.14031,1.399,0.097138,0
1.0887,0.56615,0.14024,1.399,0.097356,0
1.0887,0.56612,0.14018,1.399,0.097574,0
1.0887,0.56609,0.14012,1.399,0.097792,0
1.0888,0.56606,0.14005,1.399,0.09801,0
1.0888,0.56603,0.13999,1.399,0.098228,0
1.0888,0.56599,0.13993,1.399,0.098446,0
1.0889,0.56596,0.13986,1.399,0.098664,0
1.0889,0.56593,0.1398,1.399,0.098882,0
1.0889,0.5659,0.13974,1.399,0.0991,0
1.089,0.56587,0.13967,1.399,0.099318,0
1.089,0.56583,0.13961,1.399,0.099536,0
1.0891,0.5658,0.13954,1.399,0.099754,0
1.0891,0.56577,0.13947,1.399,0.099972,0
1.0891,0.56573,0.1394,1.399,0.10019,0
1.0892,0.5657,0.13934,1.399,0.10041,0
1.0892,0.56567,0.13928,1.399,0.10063,0
1.0892,0.56564,0.13921,1.399,0.10084,0
1.0893,0.56561,0.13915,1.399,0.10106,0
1.0893,0.56557,0.13908,1.399,0.10128,0
1.0893,0.56554,0.13902,1.399,0.1015,0
1.0894,0.56551,0.13896,1.399,0.10172,0
1.0894,0.56548,0.13889,1.399,0.10193,0
1.0895,0.56545,0.13883,1.399,0.10215,0
1.0895,0.56541,0.13877,1.399,0.10237,0
1.0895,0.56538,0.1387,1.399,0.10259,0
1.0896,0.56535,0.13864,1.399,0.10281,0
1.0896,0.56532,0.13858,1.399,0.10302,0
1.0897,0.56529,0.13851,1.399,0.10324,0
1.0897,0.56526,0.13845,1.399,0.10346,0
1.0897,0.56522,0.13839,1.399,0.10368,0
1.0898,0.56519,0.13832,1.399,0.1039,0
1.0898,0.56516,0.13826,1.399,0.10411,0
1.0899,0.56513,0.13819,1.399,0.10433,0
1.0899,0.5651,0.13813,1.399,0.10455,0
1.0899,0.56506,0.13807,1.399,0.10477,0
1.09,0.56503,0.138,1.399,0.10499,0
1.09,0.565,0.13794,1.399,0.1052,0
1.0901,0.56497,0.13787,1.399,0.10542,0
1.0901,0.56494,0.13781,1.399,0.10564,0
1.0901,0.56491,0.13775,1.399,0.10586,0
1.0902,0.56488,0.13769,1.399,0.10608,0
1.0902,0.56485,0.13763,1.399,0.10629,0
1.0902,0.56481,0.13757,1.399,0.10651,0
1.0903,0.56478,0.13751,1.399,0.10673,0
1.0903,0.56475,0.13744,1.399,0.10695,0
1.0904,0.56472,0.13738,1.399,0.10717,0
1.0904,0.56469,0.13732,1.399,0.10738,0
1.0904,0.56466,0.13726,1.399,0.1076,0
1.0905,0.56463,0.1372,1.399,0.10782,0
1.0905,0.5646,0.13713,1.399,0.10804,0
1.0905,0.56457,0.13707,1.399,0.10826,0
1.0906,0.56453,0.13701,1.399,0.10847,0
1.0906,0.5645,0.13694,1.399,0.10869,0
1.0906,0.56447,0.13688,1.399,0.10891,0
1.0907,0.56444,0.13682,1.399,0.10913,0
1.0907,0.56441,0.13676,1.399,0.10935,0
1.0907,0.56438,0.1367,1.399,0.10956,0
1.0908,0.56435,0.13664,1.399,0.10978,0
1.0908,0.56432,0.13658,1.399,0.11,0
1.0908,0.56429,0.13652,1.399,0.11022,0
1.0909,0.56426,0.13647,1.399,0.11044,0
1.0909,0.56424,0.13641,1.399,0.11065,0
1.0909,0.56421,0.13635,1.399,0.11087,0
1.091,0.56418,0.1363,1.399,0.11109,0
1.091,0.56415,0.13624,1.399,0.11131,0
1.091,0.56412,0.13619,1.399,0.11153,0
1.0911,0.5641,0.13613,1.399,0.11174,0
1.0911,0.56407,0.13607,1.399,0.11196,0
1.0911,0.56404,0.13602,1.399,0.11218,0
1.0912,0.56401,0.13596,1.399,0.1124,0
1.0912,0.56398,0.1359,1.399,0.11262,0
1.0912,0.56396,0.13585,1.399,0.11283,0
1.0913,0.56393,0.1358,1.399,0.11305,0
1.0913,0.5639,0.13575,1.399,0.11327,0
1.0913,0.56388,0.13569,1.399,0.11349,0
1.0914,0.56385,0.13564,1.399,0.11371,0
1.0914,0.56382,0.13559,1.399,0.11392,0
1.0914,0.5638,0.13553,1.399,0.11414,0
1.0914,0.56377,0.13547,1.399,0.11436,0
1.0915,0.56374,0.13542,1.399,0.11458,0
1.0915,0.56371,0.13536,1.399,0.1148,0
1.0915,0.56368,0.13531,1.399,0.11501,0
1.0916,0.56366,0.13525,1.399,0.11523,0
1.0916,0.56363,0.1352,1.399,0.11545,0
1.0916,0.5636,0.13515,1.399,0.11567,0
1.0917,0.56358,0.13509,1.399,0.11589,0
1.0917,0.56355,0.13504,1.399,0.1161,0
1.0917,0.56353,0.13499,1.399,0.11632,0
1.0918,0.5635,0.13493,1.399,0.11654,0
1.0918,0.56347,0.13487,1.399,0.11676,0
